word	value
intern	0.25
irk	0.25
jackass	0.25
jerk	0.25
lacerate	0.25
lightweight	0.25
limitation	0.25
loser	0.25
lunkhead	0.25
martyr	0.25
meet	0.25
mettle	0.25
mew	0.25
mute	0.25
muzzle	0.25
negate	0.25
nerd	0.25
nerve	0.25
nincompoop	0.25
ninny	0.25
noodle	0.25
notification	0.25
object	0.25
oppugn	0.25
ordinance	0.25
outrage	0.25
overcome	0.25
overthrow	0.25
overturn	0.25
overwhelm	0.25
parry	0.25
pen	0.25
perturb	0.25
pester	0.25
pinhead	0.25
pique	0.25
plebeian	0.25
pluck	0.25
precept	0.25
predestine	0.25
prescript	0.25
present	0.25
press	0.25
proclamation	0.25
proffer	0.25
prohibition	0.25
proposition	0.25
proscription	0.25
provoke	0.25
quash	0.25
rebut	0.25
refusal	0.25
rejection	0.25
repress	0.25
repudiation	0.25
requirement	0.25
requisition	0.25
resolution	0.25
resolve	0.25
restraint	0.25
restriction	0.25
routine	0.25
sacrifice	0.25
scatterbrain	0.25
schnook	0.25
screwball	0.25
secrete	0.25
sell	0.25
separate	0.25
shorten	0.25
sicken	0.25
silence	0.25
slander	0.25
slot	0.25
smite	0.25
soft-pedal	0.25
sort	0.25
spunk	0.25
squelch	0.25
stamina	0.25
steadfastness	0.25
stiff	0.25
stifle	0.25
strike	0.25
stupid	0.25
subpoena	0.25
subvert	0.25
summons	0.25
suppress	0.25
tag	0.25
tap	0.25
taunt	0.25
tenacity	0.25
tender	0.25
thwart	0.25
tomfool	0.25
toughness	0.25
transmit	0.25
trap	0.25
trouble	0.25
try	0.25
twit	0.25
ultimatum	0.25
unimportance	0.25
vanquish	0.25
vex	0.25
weigh	0.25
welcome	0.25
will	0.25
willpower	0.25
winnow	0.25
wish	0.25
worry	0.25
writ	0.25
idiot	0.255555555555556
criticism	0.25625
imprison	0.2625
incarcerate	0.2625
displease	0.267857142857143
upset	0.270833333333333
actual	0.275
common	0.275
conventional	0.275
crazy	0.275
detain	0.275
factual	0.275
humdrum	0.275
renounce	0.275
senseless	0.275
straight	0.275
vapid	0.275
wacky	0.275
disturb	0.28125
offend	0.28125
deny	0.311111111111111
disappoint	0.3125
commonplace	0.325
hinder	0.333333333333333
jail	0.333333333333333
restrain	0.333333333333333
annoy	0.34375
real	0.35
stale	0.35
decline	0.372222222222222
bother	0.375
conceal	0.375
confront	0.375
contradict	0.375
discourage	0.375
disprove	0.375
dissuade	0.375
invalidate	0.375
pain	0.375
request	0.375
dissent	0.4
protest	0.4
resist	0.416666666666667
bestow	0.4375
veto	0.4375
regular	0.45
dispute	0.472222222222222
add	0.5
afflict	0.5
appoint	0.5
average	0.5
bad	0.5
banal	0.5
believable	0.5
beset	0.5
bland	0.5
burden	0.5
buttonhole	0.5
cast	0.5
conforming	0.5
constrain	0.5
corny	0.5
depress	0.5
designate	0.5
destroy	0.5
determination	0.5
determine	0.5
devote	0.5
direction	0.5
dumb	0.5
duty	0.5
earthly	0.5
elect	0.5
embrace	0.5
entrust	0.5
expected	0.5
familiar	0.5
general	0.5
give	0.5
goofy	0.5
hackneyed	0.5
hollow	0.5
illogical	0.5
immobile	0.5
impart	0.5
impassive	0.5
indifferent	0.5
inferior	0.5
irrational	0.5
judge	0.5
late	0.5
laughable	0.5
law	0.5
lifeless	0.5
like	0.5
listen	0.5
love	0.5
mawkish	0.5
meaningless	0.5
mindless	0.5
misunderstand	0.5
moderate	0.5
monotonous	0.5
mundane	0.5
name	0.5
natural	0.5
nonsensical	0.5
normal	0.5
old-fashioned	0.5
oppress	0.5
order	0.5
plague	0.5
plain	0.5
poor	0.5
prefer	0.5
rack	0.5
regulation	0.5
responsibility	0.5
restrict	0.5
rule	0.5
sentimental	0.5
share	0.5
similar	0.5
standard	0.5
stodgy	0.5
stop	0.5
stuffy	0.5
subsidize	0.5
tame	0.5
tedious	0.5
tiresome	0.5
tiring	0.5
torment	0.5
torture	0.5
trite	0.5
typical	0.5
underdeveloped	0.5
undeveloped	0.5
unexceptional	0.5
unimportant	0.5
uninteresting	0.5
unreasonable	0.5
unremarkable	0.5
usual	0.5
vacant	0.5
want	0.5
word	0.5
worthless	0.5
wound	0.5
unheardof	-0.5
farout	-0.05
madeup	-0.05
offbase	-0.05
offcolor	-0.05
tootoo	-0.05
wayout	-0.05
feebleminded	0.05
halfwitted	0.05
lamebrain	0.05
motheaten	0.05
pokerfaced	0.05
warmedover	0.05
wellworn	0.05
wishywashy	0.05
coopt	0.25
halfwit	0.25
hogtie	0.25
softpedal	0.25
oldfashioned	0.5
